,year,track_rank,search_artist,search_query,track_popularity,duration_min,tempo,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,k_labels,clusters
79,1970,80,Joe Cocker,The Letter,34.0,4.18,176.229,0.311,0.8270000000000001,8.0,-8.056000000000001,1.0,0.099,0.0543,0.305,0.631,0.843,1,Happy Dance
80,1970,81,Tee-Set,Ma Belle Amie,36.0,3.25,86.56200000000001,0.425,0.503,7.0,-10.972999999999999,1.0,0.0458,0.1,0.000749,0.16899999999999998,0.701,1,Happy Dance
81,1970,82,The Originals,The Bells,40.0,2.88,173.778,0.242,0.696,7.0,-5.092,0.0,0.0527,0.348,0.0,0.209,0.45799999999999996,0,Neutral Energetic
82,1970,83,Christie,Yellow River,49.0,2.77,129.851,0.627,0.544,4.0,-11.436,1.0,0.028999999999999998,0.0859,0.0,0.152,0.877,1,Happy Dance
84,1970,85,The Ides of March,Vehicle,48.0,2.97,101.751,0.474,0.7340000000000001,10.0,-8.812999999999999,0.0,0.0426,0.0871,0.0035600000000000002,0.26,0.9259999999999999,1,Happy Dance
85,1970,86,The Pipkins,Gimme Dat Ding,31.0,2.24,96.791,0.649,0.741,7.0,-9.469,1.0,0.0414,0.598,2.15e-06,0.0295,0.9179999999999999,1,Happy Dance
86,1970,87,Robin McNamara,Lay a Little Lovin' on Me,18.0,3.81,107.751,0.42,0.7290000000000001,1.0,-9.849,1.0,0.0817,0.483,0.00295,0.0369,0.795,1,Happy Dance
87,1970,88,The Supremes,Up the Ladder to the Roof,35.0,3.19,120.15700000000001,0.5329999999999999,0.5670000000000001,10.0,-13.743,1.0,0.0539,0.5489999999999999,2.61e-06,0.177,0.6579999999999999,2,Soft Acoustic
88,1970,89,Creedence Clearwater Revival,Travelin' Band,58.0,2.12,166.18599999999998,0.513,0.92,6.0,-6.664,1.0,0.0511,0.0166,0.0282,0.17800000000000002,0.963,1,Happy Dance
89,1970,90,The Sandpipers,Come Saturday Morning,34.0,3.1,155.247,0.168,0.593,2.0,-10.780999999999999,1.0,0.0387,0.265,0.00121,0.18899999999999997,0.718,0,Neutral Energetic
90,1970,91,The Temptations,Psychedelic Shack,38.0,3.84,108.94,0.6629999999999999,0.8220000000000001,5.0,-13.119000000000002,0.0,0.059000000000000004,0.19899999999999998,8.69e-06,0.0626,0.818,1,Happy Dance
91,1970,92,Tom Jones,Without Love,42.0,3.76,148.30700000000002,0.309,0.282,5.0,-13.921,1.0,0.0325,0.569,0.008790000000000001,0.10800000000000001,0.31,2,Soft Acoustic
92,1970,93,Pacific Gas & Electric,Are You Ready? (Pacific Gas & Electric song),29.0,5.77,137.303,0.604,0.625,4.0,-12.339,0.0,0.0646,0.0448,9.75e-06,0.135,0.8109999999999999,1,Happy Dance
93,1970,94,"Crosby, Stills, Nash & Young",Woodstock,53.0,3.9,118.928,0.45799999999999996,0.539,4.0,-12.402000000000001,0.0,0.0571,0.121,0.00944,0.17,0.56,0,Neutral Energetic
94,1970,95,Dionne Warwick,I'll Never Fall in Love Again,55.0,2.91,136.882,0.6759999999999999,0.33899999999999997,1.0,-13.805,1.0,0.0509,0.7170000000000001,9.77e-06,0.109,0.7559999999999999,2,Soft Acoustic
95,1970,96,The New Seekers,Look What They've Done to My Song Ma,9.0,3.38,137.296,0.41200000000000003,0.456,9.0,-11.397,1.0,0.0339,0.583,0.0,0.27399999999999997,0.401,2,Soft Acoustic
96,1970,97,Joe South,Walk A Mile In My Shoes,27.0,4.13,111.596,0.631,0.536,9.0,-12.135,1.0,0.0279,0.40299999999999997,0.836,0.132,0.8,1,Happy Dance
97,1970,98,B.B. King,The Thrill Is Gone,62.0,5.02,86.64399999999999,0.6920000000000001,0.493,9.0,-9.662,0.0,0.0325,0.0934,0.0016600000000000002,0.128,0.28,0,Neutral Energetic
98,1970,99,Glen Campbell,It's Only Make Believe,42.0,2.46,112.742,0.44799999999999995,0.5579999999999999,0.0,-5.482,1.0,0.0299,0.191,0.000735,0.276,0.537,0,Neutral Energetic
99,1970,100,Aretha Franklin,Call Me,42.0,3.95,118.391,0.517,0.375,7.0,-11.527000000000001,1.0,0.0341,0.682,1.28e-06,0.45799999999999996,0.306,2,Soft Acoustic
100,1971,1,Three Dog Night,Joy to the World,64.0,3.68,126.867,0.649,0.679,2.0,-12.515,1.0,0.0316,0.46399999999999997,0.00121,0.33899999999999997,0.971,1,Happy Dance
101,1971,2,Rod Stewart,Maggie May,71.0,5.84,129.44899999999998,0.605,0.574,2.0,-10.536,1.0,0.0377,0.5589999999999999,0.113,0.0684,0.5429999999999999,2,Soft Acoustic
102,1971,3,Carole King,It's Too Late,67.0,3.89,208.282,0.45,0.442,9.0,-12.718,0.0,0.0353,0.493,0.00564,0.134,0.812,2,Soft Acoustic
103,1971,4,The Osmonds,One Bad Apple,34.0,2.75,101.041,0.6,0.5670000000000001,0.0,-7.162999999999999,1.0,0.0398,0.382,0.0,0.213,0.92,1,Happy Dance
104,1971,5,Bee Gees,How Can You Mend a Broken Heart,76.0,4.76,103.564,0.7020000000000001,0.773,10.0,-9.256,0.0,0.0343,0.0288,0.008709999999999999,0.147,0.953,1,Happy Dance
105,1971,6,Paul Revere & the Raiders,Indian Reservation,45.0,2.87,131.714,0.639,0.385,2.0,-13.253,1.0,0.0759,0.284,0.00193,0.0873,0.209,2,Soft Acoustic
106,1971,7,Donny Osmond,Go Away Little Girl,34.0,2.51,101.814,0.302,0.521,7.0,-5.391,1.0,0.0354,0.72,4.74e-06,0.12300000000000001,0.364,2,Soft Acoustic
107,1971,8,John Denver,"Take Me Home, Country Roads",76.0,3.3,164.267,0.255,0.43,9.0,-12.564,1.0,0.0322,0.546,1.87e-05,0.188,0.546,2,Soft Acoustic
108,1971,9,The Temptations,Just My Imagination,63.0,3.8,92.47200000000001,0.425,0.242,0.0,-15.424000000000001,1.0,0.0267,0.88,0.0118,0.195,0.47700000000000004,2,Soft Acoustic
109,1971,10,Tony Orlando and Dawn,Knock Three Times,54.0,2.95,123.12700000000001,0.774,0.58,1.0,-10.08,1.0,0.0512,0.158,0.0,0.0458,0.9229999999999999,1,Happy Dance
110,1971,11,Janis Joplin,Me and Bobby McGee,70.0,4.52,93.405,0.43,0.46299999999999997,2.0,-10.96,1.0,0.0442,0.303,5.8399999999999997e-05,0.152,0.66,2,Soft Acoustic
111,1971,12,Al Green,Tired of Being Alone,66.0,2.87,97.964,0.772,0.397,7.0,-8.585,1.0,0.0391,0.33899999999999997,0.00541,0.0753,0.617,2,Soft Acoustic
112,1971,13,Honey Cone,Want Ads,34.0,2.77,189.68400000000003,0.6509999999999999,0.812,1.0,-6.912000000000001,1.0,0.239,0.33,0.000131,0.0833,0.927,1,Happy Dance
113,1971,14,The Undisputed Truth,Smiling Faces Sometimes,51.0,3.31,105.155,0.551,0.461,11.0,-11.777999999999999,1.0,0.0255,0.252,2.39e-06,0.0541,0.7390000000000001,1,Happy Dance
114,1971,15,Cornelius Brothers & Sister Rose,Treat Her Like a Lady (Cornelius Brothers & Sister Rose song),45.0,2.67,131.4,0.775,0.47600000000000003,11.0,-8.539,0.0,0.0355,0.191,0.0,0.132,0.9279999999999999,1,Happy Dance
115,1971,16,James Taylor,You've Got a Friend,57.0,4.48,91.787,0.6890000000000001,0.2,9.0,-18.634,1.0,0.0309,0.795,0.0327,0.0893,0.478,2,Soft Acoustic
116,1971,17,Jean Knight,Mr. Big Stuff,63.0,2.74,93.236,0.8859999999999999,0.491,8.0,-12.589,1.0,0.171,0.29,2.46e-06,0.22899999999999998,0.971,1,Happy Dance
117,1971,18,The Rolling Stones,Brown Sugar,25.0,3.84,128.588,0.633,0.9329999999999999,0.0,-3.572,1.0,0.0349,0.23399999999999999,0.000161,0.07200000000000001,0.965,1,Happy Dance
118,1971,19,Lee Michaels,Do You Know What I Mean,47.0,3.2,109.081,0.7879999999999999,0.865,0.0,-9.729,1.0,0.0575,0.131,1.58e-05,0.0238,0.9470000000000001,1,Happy Dance
119,1971,20,Joan Baez,The Night They Drove Old Dixie Down,55.0,3.43,129.24200000000002,0.564,0.35700000000000004,1.0,-12.752,1.0,0.0326,0.5579999999999999,0.0,0.233,0.47700000000000004,2,Soft Acoustic
120,1971,21,Marvin Gaye,What's Going On,2.0,3.88,101.47200000000001,0.462,0.823,1.0,-6.355,0.0,0.0801,0.435,0.0,0.53,0.782,1,Happy Dance
121,1971,22,Paul,Uncle Albert/Admiral Halsey,54.0,4.92,91.786,0.371,0.507,7.0,-9.805,1.0,0.0325,0.58,0.0201,0.175,0.535,2,Soft Acoustic
122,1971,23,Bill Withers,Ain't No Sunshine,76.0,2.08,79.593,0.479,0.41600000000000004,4.0,-11.450999999999999,0.0,0.124,0.457,1.7199999999999998e-05,0.11800000000000001,0.514,2,Soft Acoustic
123,1971,24,Five Man Electrical Band,Signs,50.0,4.03,153.672,0.446,0.731,2.0,-10.302,1.0,0.0519,0.243,0.0,0.0935,0.723,1,Happy Dance
124,1971,25,Tom Jones,She's a Lady,60.0,2.9,119.70200000000001,0.51,0.8759999999999999,2.0,-9.101,1.0,0.161,0.212,0.0,0.248,0.624,1,Happy Dance
125,1971,26,Murray Head & The Trinidad Singers,Superstar,31.0,4.26,122.079,0.385,0.659,9.0,-5.442,1.0,0.0405,0.0557,0.0,0.40700000000000003,0.53,0,Neutral Energetic
127,1971,28,Jerry Reed,Amos Moses,53.0,2.32,105.541,0.738,0.723,2.0,-10.356,1.0,0.0728,0.4,0.00134,0.0166,0.95,1,Happy Dance
128,1971,29,The Grass Roots,Temptation Eyes,40.0,2.65,134.892,0.555,0.8690000000000001,3.0,-5.479,1.0,0.0278,0.0104,0.000156,0.10800000000000001,0.84,1,Happy Dance
129,1971,30,The Carpenters,Superstar,4.0,3.62,88.475,0.475,0.341,8.0,-11.93,1.0,0.0326,0.807,0.8220000000000001,0.201,0.309,2,Soft Acoustic
130,1971,31,George Harrison,My Sweet Lord,75.0,4.69,120.919,0.537,0.701,1.0,-8.913,0.0,0.0335,0.0972,0.0,0.0832,0.583,0,Neutral Energetic
131,1971,32,Donny Osmond,Sweet and Innocent,22.0,3.04,125.524,0.762,0.7859999999999999,0.0,-5.08,1.0,0.044000000000000004,0.498,0.00020099999999999998,0.141,0.9690000000000001,1,Happy Dance
132,1971,33,Ocean,Put Your Hand in the Hand,33.0,2.95,136.384,0.833,0.475,9.0,-14.950999999999999,1.0,0.0403,0.0489,0.00010400000000000001,0.0759,0.978,1,Happy Dance
133,1971,34,Daddy Dewdrop,Chick-A-Boom (Don't Ya Jes' Love It),27.0,2.86,124.557,0.7809999999999999,0.732,0.0,-6.766,1.0,0.0505,0.0343,0.0,0.17300000000000001,0.9620000000000001,1,Happy Dance
134,1971,35,The Carpenters,For All We Know,0.0,2.51,136.281,0.743,0.136,7.0,-19.914,1.0,0.0691,0.924,0.20800000000000002,0.237,0.46,2,Soft Acoustic
135,1971,36,Sammi Smith,Help Me Make It Through the Night,51.0,2.59,78.035,0.5589999999999999,0.35,8.0,-12.01,1.0,0.0245,0.605,0.000443,0.102,0.413,2,Soft Acoustic
136,1971,37,The Carpenters,Rainy Days and Mondays,3.0,3.5,77.571,0.363,0.37,0.0,-12.364,0.0,0.0284,0.16399999999999998,0.9209999999999999,0.107,0.23800000000000002,2,Soft Acoustic
137,1971,38,Gordon Lightfoot,If You Could Read My Mind,61.0,3.81,122.565,0.612,0.24,9.0,-12.821,1.0,0.033,0.745,7.859999999999999e-05,0.115,0.223,2,Soft Acoustic
138,1971,39,Cher,"Gypsys, Tramps & Thieves",55.0,2.63,170.87900000000002,0.47600000000000003,0.677,0.0,-11.175,1.0,0.0365,0.21100000000000002,0.0,0.0601,0.691,1,Happy Dance
139,1971,40,The Jackson 5,Never Can Say Goodbye,48.0,3.0,166.139,0.527,0.821,2.0,-7.19,1.0,0.047,0.337,1.68e-06,0.39399999999999996,0.835,1,Happy Dance
140,1971,41,Lynn Anderson,Rose Garden,59.0,2.93,131.064,0.589,0.501,0.0,-11.665,1.0,0.031,0.168,0.0,0.0741,0.9690000000000001,1,Happy Dance
141,1971,42,"Hamilton, Joe Frank & Reynolds",Don't Pull Your Love,51.0,2.72,100.29,0.618,0.833,7.0,-4.007,1.0,0.0338,0.618,0.0,0.299,0.8959999999999999,1,Happy Dance
142,1971,43,Ringo Starr,It Don't Come Easy,54.0,3.07,123.191,0.609,0.624,7.0,-11.717,1.0,0.0292,0.0396,0.000168,0.27699999999999997,0.691,1,Happy Dance
